                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.65827,                0.96373,                0.48396,                0.88601,                0.94427,                0.69166,                0.86287,                0.69846,                0.94427,                0.69166,                0.86287,                0.69769,                0.93466,                 1.5288,                 1.2463,                0.96555,              0.0016396,              0.0016396,              0.0016396
                     94,                 0.6325,                0.88906,                0.44201,                0.87142,                0.94006,                0.71429,                 0.8205,                0.66839,                0.94006,                0.71429,                 0.8205,                0.65136,                0.94049,                 1.6358,                 1.1558,                0.94309,              0.0016357,              0.0016357,              0.0016357
                     95,                0.60005,                0.89713,                0.43802,                0.86229,                0.99584,                0.67347,                0.80003,                0.65403,                0.99584,                0.67347,                0.80003,                0.64797,                0.95266,                 1.5953,                 1.1786,                0.94305,              0.0016317,              0.0016317,              0.0016317
                     96,                0.64029,                0.92832,                0.51703,                0.86071,                0.96126,                0.69388,                0.84239,                0.66469,                0.96126,                0.69388,                0.84239,                0.67237,                0.96403,                 1.7512,                 1.1541,                0.94993,              0.0016278,              0.0016278,              0.0016278
                     97,                0.62137,                0.92859,                0.47343,                0.87537,                0.99862,                0.77551,                0.89042,                0.69136,                0.99862,                0.77551,                0.89042,                0.71237,                 0.9772,                 1.6212,                0.78715,                0.93102,              0.0016238,              0.0016238,              0.0016238
                     98,                0.62839,                0.90527,                0.47037,                0.86394,                0.91217,                0.84789,                0.89125,                0.70434,                0.91217,                0.84789,                0.87897,                0.68976,                0.95882,                 1.5676,                0.78187,                0.94402,              0.0016198,              0.0016198,              0.0016198
                     99,                0.63488,                0.88422,                0.45777,                0.87714,                0.92997,                0.83673,                0.86932,                0.68754,                0.94835,                0.81633,                0.85184,                0.66072,                0.93301,                 1.7546,                0.86508,                 0.9368,              0.0016159,              0.0016159,              0.0016159
                    100,                0.62551,                0.84293,                 0.4661,                0.87134,                0.97611,                0.83387,                0.86537,                0.70004,                0.97446,                0.81633,                0.84657,                 0.6773,                0.95952,                 1.8276,                0.86976,                0.97368,              0.0016119,              0.0016119,              0.0016119
                    101,                0.66704,                0.97179,                0.50395,                0.89099,                0.97386,                0.81633,                0.82576,                0.66922,                0.97386,                0.81633,                0.82424,                0.64845,                0.90486,                 1.7837,                0.92523,                0.93107,               0.001608,               0.001608,               0.001608
                    102,                0.64617,                0.93842,                0.46621,                0.88379,                0.97012,                0.79592,                 0.8198,                0.64764,                0.97012,                0.79592,                 0.8198,                0.66169,                0.89143,                 1.4494,                  1.002,                0.92862,               0.001604,               0.001604,               0.001604
                    103,                0.60722,                0.86337,                0.45951,                0.86995,                 0.9289,                0.83673,                0.86081,                0.70175,                 0.9289,                0.83673,                0.86079,                 0.6883,                0.85144,                 1.4869,                0.93854,                0.91862,                 0.0016,                 0.0016,                 0.0016
                    104,                0.60359,                0.83632,                0.42289,                0.86118,                0.93065,                0.82167,                0.87947,                0.70599,                0.93065,                0.82167,                0.87001,                0.69665,                0.88441,                 1.5438,                0.82889,                0.91415,              0.0015961,              0.0015961,              0.0015961
                    105,                0.61259,                0.91714,                 0.4195,                0.87501,                0.92392,                0.83673,                0.86898,                0.71186,                0.92392,                0.83673,                0.86898,                0.69871,                0.86924,                 1.5994,                0.95237,                0.92371,              0.0015921,              0.0015921,              0.0015921
